id;date;description;amount
1;2019-06-20T18:44:33;National Awesome sky blue;4522
2;2019-06-20T10:01:26;navigating;74732
3;2019-06-21T02:34:46;generating compelling;28093
4;2019-06-20T18:31:24;bifurcated scalable;16526
5;2019-06-21T07:18:10;Administrator;77224
6;2019-06-20T23:36:53;24 hour;1407
7;2019-06-20T13:31:16;monitor;72900
8;2019-06-20T14:07:40;Checking Account Identity deposit;91495
9;2019-06-20T12:22:39;Investment Account archive Fantastic Plastic Chicken;32518
10;2019-06-20T17:06:36;New York tangible Mississippi;38292
