id;name;balance
1;secularize meh how;27219
2;uh-huh;93.03
3;inasmuch per noted;16140.91
4;unsightly shrilly redound;3563.59
5;meaningfully shameful;13289.93
6;digestive;24946.37
7;teriyaki;14444.6
8;oh pfft;26913.09
9;amidst;18016.6
10;clinking except offensively;652.61
11;good-natured unless;19842.75
12;likely;22925.55
13;mechanically declaration joshingly;26758.3
14;while showboat retrospectivity;28257.66
15;not;12450.12
16;unto bah;403.84
17;zealous;814.29
18;well tensely silently;31554.4
19;around digitize;9976.86
20;gah oh;13371.95
21;down;22641.19
22;status;23750.68
23;although stock;27626.32
24;tooth abscond oddly;32222.12
25;about;9009.67
26;without;9629.85
27;premeditation juvenile absent;4681.45
28;past atrium garage;12034.36
29;community though;271.47
30;uh-huh however;25611.74
