id;label
1;tributary ouch
2;pro wilderness kiddingly
3;solidly oof galvanize
4;extra-large neck beside
5;provided
6;dredger brush instead
7;abacus readily
8;although
9;considering
10;stingy
11;representation pfft
12;although back whoever
13;round trusting than
14;dapper
15;fiercely
16;tool vice golden
17;and because
18;toady
19;now
20;inasmuch shocked
21;unexpectedly tangible provided
22;upside-down whoa though
23;blah versus among
24;defiantly close
25;since
26;malfunction severe unbalance
27;ouch huzzah
28;ugh
29;after since
30;in jittery
