id;date;description;amount
1;2019-10-11T02:09:34;National Awesome sky blue;4522
2;2019-10-10T17:26:27;navigating;74732
3;2019-10-11T09:59:47;generating compelling;28093
4;2019-10-11T01:56:25;bifurcated scalable;16526
5;2019-10-11T14:43:11;Administrator;77224
6;2019-10-11T07:01:54;24 hour;1407
7;2019-10-10T20:56:17;monitor;72900
8;2019-10-10T21:32:41;Checking Account Identity deposit;91495
9;2019-10-10T19:47:40;Investment Account archive Fantastic Plastic Chicken;32518
10;2019-10-11T00:31:37;New York tangible Mississippi;38292
